document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 5 - OQ - Heart Rate Monitor Application,OQ,33,OQ-033-01,Validate sensor data range,iOS,Low,System shall complete the action without data loss.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,33,OQ-033-02,Manual heart rate entry when device unavailable,Android/iOS,Medium,Audit/event record shall be generated where applicable.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,33,OQ-033-03,Handle offline mode,Backend API,TBD,System shall complete the action without data loss.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,33,OQ-033-04,Store readings securely on device,Backend API,Medium,System shall complete the action without data loss.,Approved?,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,33,OQ-033-05,Display current BPM with timestamp,Android/iOS,TBD,Data shall be encrypted in transit and at rest.,Rejected once,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,34,OQ-034-01,Capture heart rate from paired device,Cloud Sync,Medium,System shall complete the action without data loss.,Rejected once,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,34,OQ-034-02,Export readings as PDF/CSV,Backend API,Not ranked,System shall complete the action without data loss.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,34,OQ-034-03,Display current BPM with timestamp,Android,TBD,System shall complete the action without data loss.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,34,OQ-034-04,Audit user actions,Android,Not ranked,Result must be visible in mobile UI within expected time.,Pending QA,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,34,OQ_34.5,Biometric login option,iOS,Low,Audit/event record shall be generated where applicable.,Pending QA,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,35,OQ-035-01,Capture heart rate from paired device,Notification Service,TBD,Result must be visible in mobile UI within expected time.,Pending QA,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,35,OQ_35.2,Capture heart rate from paired device,Local DB,Low,TBD by clinical SME - intentionally incomplete.,Approved?,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,35,OQ-035-03,Export readings as PDF/CSV,Cloud Sync,Not ranked,Result must be visible in mobile UI within expected time.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,35,OQ-035-04,Biometric login option,Android,TBD,User shall receive clear error message on failure.,Draft,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,35,OQ-035-05,Validate sensor data range,Android,Not ranked,User shall receive clear error message on failure.,Approved?,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,36,OQ_36.1,Export readings as PDF/CSV,Bluetooth Sensor,Low,Result must be visible in mobile UI within expected time.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,36,OQ-036-02,Battery and Bluetooth warning,Local DB,Not ranked,TBD by clinical SME - intentionally incomplete.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,36,OQ-036-03,Consent capture and privacy notice,Backend API,High,System shall complete the action without data loss.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,36,OQ_36.4,Show trend chart for 7/30/90 days,iOS,TBD,System shall complete the action without data loss.,Rejected once,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,36,OQ-036-05,Biometric login option,iOS,High,TBD by clinical SME - intentionally incomplete.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,37,OQ-037-01,Sync readings to cloud API,Android/iOS,Not ranked,TBD by clinical SME - intentionally incomplete.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,37,OQ_37.2,Support caregiver view,iOS,Not ranked,System shall complete the action without data loss.,Approved?,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,37,OQ-037-03,Generate high/low heart-rate alert,iOS,High,Result must be visible in mobile UI within expected time.,Need SME,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,37,OQ-037-04,Manual heart rate entry when device unavailable,Backend API,Medium,User shall receive clear error message on failure.,Approved?,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,37,OQ_37.5,Generate high/low heart-rate alert,Android/iOS,Medium,TBD by clinical SME - intentionally incomplete.,Rejected once,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,38,OQ-038-01,Support caregiver view,Local DB,Medium,System shall complete the action without data loss.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,38,OQ-038-02,Store readings securely on device,iOS,Not ranked,System shall complete the action without data loss.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,38,OQ_38.3,Capture heart rate from paired device,Cloud Sync,Low,TBD by clinical SME - intentionally incomplete.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,38,OQ-038-04,Handle offline mode,Local DB,Not ranked,Result must be visible in mobile UI within expected time.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,38,OQ-038-05,Store readings securely on device,Backend API,High,System shall complete the action without data loss.,In Review,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,39,OQ-039-01,Display current BPM with timestamp,Bluetooth Sensor,Not ranked,Audit/event record shall be generated where applicable.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,39,OQ-039-02,Notification retry and suppression,Android/iOS,TBD,Data shall be encrypted in transit and at rest.,Pending QA,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,39,OQ-039-03,Display current BPM with timestamp,Bluetooth Sensor,TBD,Audit/event record shall be generated where applicable.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,39,OQ-039-04,Display current BPM with timestamp,Android/iOS,Low,System shall complete the action without data loss.,Rejected once,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,39,OQ-039-05,Handle offline mode,Android/iOS,High,Result must be visible in mobile UI within expected time.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,40,OQ_40.1,Support caregiver view,Android/iOS,High,TBD by clinical SME - intentionally incomplete.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,40,OQ_40.2,Export readings as PDF/CSV,Android,High,Result must be visible in mobile UI within expected time.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,40,OQ-040-03,Battery and Bluetooth warning,Android/iOS,TBD,User shall receive clear error message on failure.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,40,OQ-040-04,Sync readings to cloud API,Android,Medium,Data shall be encrypted in transit and at rest.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,40,OQ-040-05,Display current BPM with timestamp,Android,Not ranked,System shall complete the action without data loss.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,41,OQ-041-01,Capture heart rate from paired device,Android,High,System shall complete the action without data loss.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,41,OQ-041-02,Display current BPM with timestamp,Cloud Sync,Low,Result must be visible in mobile UI within expected time.,Approved?,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,41,OQ-041-03,Notification retry and suppression,Bluetooth Sensor,Medium,System shall complete the action without data loss.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,41,OQ-041-04,Generate high/low heart-rate alert,Android,Not ranked,Result must be visible in mobile UI within expected time.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,41,OQ-041-05,Export readings as PDF/CSV,Cloud Sync,Medium,Result must be visible in mobile UI within expected time.,Pending QA,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,42,OQ-042-01,Handle offline mode,Android/iOS,Not ranked,Audit/event record shall be generated where applicable.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,42,OQ-042-02,Handle offline mode,Android,Not ranked,Audit/event record shall be generated where applicable.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,42,OQ-042-03,Validate sensor data range,Android/iOS,High,Audit/event record shall be generated where applicable.,Draft,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,42,OQ-042-04,Sync readings to cloud API,Notification Service,Not ranked,Data shall be encrypted in transit and at rest.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,42,OQ-042-05,Handle offline mode,Local DB,Low,System shall complete the action without data loss.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,43,OQ-043-01,Manual heart rate entry when device unavailable,Local DB,Medium,Data shall be encrypted in transit and at rest.,Rejected once,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,43,OQ-043-02,Sync readings to cloud API,Bluetooth Sensor,High,TBD by clinical SME - intentionally incomplete.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,43,OQ-043-03,Support caregiver view,Bluetooth Sensor,TBD,Audit/event record shall be generated where applicable.,Pending QA,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,43,OQ-043-04,Export readings as PDF/CSV,Android,High,Audit/event record shall be generated where applicable.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,43,OQ_43.5,Show trend chart for 7/30/90 days,Bluetooth Sensor,TBD,TBD by clinical SME - intentionally incomplete.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,44,OQ_44.1,Sync readings to cloud API,Android,Low,Audit/event record shall be generated where applicable.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,44,OQ-044-02,Display current BPM with timestamp,Android,TBD,Result must be visible in mobile UI within expected time.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,44,OQ-044-03,Support caregiver view,Cloud Sync,TBD,System shall complete the action without data loss.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,44,OQ-044-04,Audit user actions,Local DB,TBD,System shall complete the action without data loss.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,44,OQ-044-05,Consent capture and privacy notice,Notification Service,TBD,Data shall be encrypted in transit and at rest.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,45,OQ-045-01,Validate sensor data range,Cloud Sync,Low,System shall complete the action without data loss.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,45,OQ-045-02,Store readings securely on device,Bluetooth Sensor,Medium,TBD by clinical SME - intentionally incomplete.,In Review,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,45,OQ-045-03,Consent capture and privacy notice,Android/iOS,TBD,TBD by clinical SME - intentionally incomplete.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,45,OQ-045-04,Notification retry and suppression,iOS,Low,Data shall be encrypted in transit and at rest.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,45,OQ-045-05,Manual heart rate entry when device unavailable,Backend API,TBD,TBD by clinical SME - intentionally incomplete.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,46,OQ_46.1,Export readings as PDF/CSV,Notification Service,TBD,User shall receive clear error message on failure.,Rejected once,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,46,OQ-046-02,Display current BPM with timestamp,Local DB,Not ranked,User shall receive clear error message on failure.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,46,OQ_46.3,Audit user actions,Backend API,High,Result must be visible in mobile UI within expected time.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,46,OQ_46.4,Display current BPM with timestamp,Android/iOS,Medium,Data shall be encrypted in transit and at rest.,Pending QA,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,46,OQ-046-05,Sync readings to cloud API,Android/iOS,Not ranked,TBD by clinical SME - intentionally incomplete.,In Review,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,47,OQ-047-01,Consent capture and privacy notice,Backend API,Low,TBD by clinical SME - intentionally incomplete.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,47,OQ-047-02,Show trend chart for 7/30/90 days,Cloud Sync,Not ranked,Result must be visible in mobile UI within expected time.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,47,OQ_47.3,Generate high/low heart-rate alert,Android/iOS,TBD,Result must be visible in mobile UI within expected time.,In Review,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,47,OQ-047-04,Sync readings to cloud API,iOS,High,Data shall be encrypted in transit and at rest.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,47,OQ-047-05,Generate high/low heart-rate alert,Cloud Sync,TBD,TBD by clinical SME - intentionally incomplete.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,48,OQ_48.1,Show trend chart for 7/30/90 days,Bluetooth Sensor,TBD,User shall receive clear error message on failure.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,48,OQ-048-02,Battery and Bluetooth warning,Backend API,High,Audit/event record shall be generated where applicable.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,48,OQ-048-03,Generate high/low heart-rate alert,Cloud Sync,TBD,Data shall be encrypted in transit and at rest.,Need SME,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,48,OQ-048-04,Display current BPM with timestamp,Notification Service,Medium,System shall complete the action without data loss.,Approved?,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,48,OQ-048-05,Export readings as PDF/CSV,Notification Service,Medium,System shall complete the action without data loss.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,49,OQ-049-01,Biometric login option,Cloud Sync,Low,Result must be visible in mobile UI within expected time.,Pending QA,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,49,OQ_49.2,Display current BPM with timestamp,Android,High,Audit/event record shall be generated where applicable.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,49,OQ-049-03,Sync readings to cloud API,Backend API,High,Result must be visible in mobile UI within expected time.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,49,OQ-049-04,Capture heart rate from paired device,Cloud Sync,TBD,Audit/event record shall be generated where applicable.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,49,OQ-049-05,Sync readings to cloud API,Android/iOS,High,Result must be visible in mobile UI within expected time.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,50,OQ_50.1,Capture heart rate from paired device,Android,Medium,User shall receive clear error message on failure.,Pending QA,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,50,OQ-050-02,Display current BPM with timestamp,Backend API,TBD,Result must be visible in mobile UI within expected time.,Pending QA,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,50,OQ-050-03,Export readings as PDF/CSV,iOS,Not ranked,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,50,OQ-050-04,Audit user actions,Backend API,Not ranked,User shall receive clear error message on failure.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,50,OQ-050-05,Manual heart rate entry when device unavailable,iOS,High,System shall complete the action without data loss.,Need SME,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,51,OQ-051-01,Consent capture and privacy notice,iOS,TBD,TBD by clinical SME - intentionally incomplete.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,51,OQ-051-02,Display current BPM with timestamp,Android,Low,User shall receive clear error message on failure.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,51,OQ-051-03,Manual heart rate entry when device unavailable,Android,TBD,TBD by clinical SME - intentionally incomplete.,Rejected once,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,51,OQ-051-04,Show trend chart for 7/30/90 days,Android,Medium,Data shall be encrypted in transit and at rest.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,51,OQ-051-05,Show trend chart for 7/30/90 days,Cloud Sync,Medium,System shall complete the action without data loss.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,52,OQ-052-01,Support caregiver view,iOS,Low,Data shall be encrypted in transit and at rest.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,52,OQ-052-02,Validate sensor data range,iOS,Not ranked,Data shall be encrypted in transit and at rest.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,52,OQ-052-03,Support caregiver view,Bluetooth Sensor,Low,TBD by clinical SME - intentionally incomplete.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,52,OQ-052-04,Capture heart rate from paired device,Android,High,TBD by clinical SME - intentionally incomplete.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,52,OQ-052-05,Consent capture and privacy notice,Android,TBD,User shall receive clear error message on failure.,Approved?,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,53,OQ-053-01,Validate sensor data range,Backend API,Low,Result must be visible in mobile UI within expected time.,Need SME,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,53,OQ-053-02,Sync readings to cloud API,Backend API,Not ranked,Result must be visible in mobile UI within expected time.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,53,OQ_53.3,Consent capture and privacy notice,Bluetooth Sensor,Medium,Result must be visible in mobile UI within expected time.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,53,OQ-053-04,Store readings securely on device,Local DB,High,Data shall be encrypted in transit and at rest.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,53,OQ_53.5,Display current BPM with timestamp,Cloud Sync,Low,TBD by clinical SME - intentionally incomplete.,Draft,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,54,OQ-054-01,Validate sensor data range,Notification Service,TBD,User shall receive clear error message on failure.,Rejected once,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,54,OQ-054-02,Biometric login option,iOS,TBD,System shall complete the action without data loss.,Approved?,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,54,OQ-054-03,Show trend chart for 7/30/90 days,Bluetooth Sensor,Low,TBD by clinical SME - intentionally incomplete.,Approved?,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,54,OQ-054-04,Capture heart rate from paired device,iOS,TBD,Audit/event record shall be generated where applicable.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,54,OQ-054-05,Capture heart rate from paired device,Android,High,User shall receive clear error message on failure.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,55,OQ-055-01,Biometric login option,Android,Low,Data shall be encrypted in transit and at rest.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,55,OQ-055-02,Handle offline mode,Backend API,Not ranked,Data shall be encrypted in transit and at rest.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,55,OQ-055-03,Battery and Bluetooth warning,Notification Service,High,TBD by clinical SME - intentionally incomplete.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,55,OQ-055-04,Support caregiver view,Local DB,Low,TBD by clinical SME - intentionally incomplete.,Pending QA,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,55,OQ-055-05,Validate sensor data range,Notification Service,TBD,Result must be visible in mobile UI within expected time.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,56,OQ-056-01,Capture heart rate from paired device,Bluetooth Sensor,High,Result must be visible in mobile UI within expected time.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,56,OQ-056-02,Support caregiver view,Notification Service,High,TBD by clinical SME - intentionally incomplete.,Need SME,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,56,OQ_56.3,Store readings securely on device,Backend API,High,System shall complete the action without data loss.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,56,OQ-056-04,Capture heart rate from paired device,Backend API,Medium,Audit/event record shall be generated where applicable.,Need SME,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,56,OQ-056-05,Generate high/low heart-rate alert,Android/iOS,High,Result must be visible in mobile UI within expected time.,Approved?,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,57,OQ-057-01,Store readings securely on device,Local DB,Medium,User shall receive clear error message on failure.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,57,OQ-057-02,Sync readings to cloud API,Notification Service,High,User shall receive clear error message on failure.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,57,OQ_57.3,Manual heart rate entry when device unavailable,Cloud Sync,Low,System shall complete the action without data loss.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,57,OQ-057-04,Manual heart rate entry when device unavailable,iOS,TBD,Result must be visible in mobile UI within expected time.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,57,OQ-057-05,Validate sensor data range,Android,Medium,Data shall be encrypted in transit and at rest.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,58,OQ-058-01,Battery and Bluetooth warning,Backend API,Medium,System shall complete the action without data loss.,Need SME,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,58,OQ-058-02,Notification retry and suppression,Cloud Sync,TBD,TBD by clinical SME - intentionally incomplete.,Need SME,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,58,OQ-058-03,Manual heart rate entry when device unavailable,Notification Service,High,User shall receive clear error message on failure.,Rejected once,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,58,OQ-058-04,Consent capture and privacy notice,Android/iOS,TBD,System shall complete the action without data loss.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,58,OQ-058-05,Consent capture and privacy notice,Local DB,Not ranked,Audit/event record shall be generated where applicable.,Need SME,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,59,OQ-059-01,Battery and Bluetooth warning,Cloud Sync,High,User shall receive clear error message on failure.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,59,OQ-059-02,Sync readings to cloud API,Backend API,Low,Result must be visible in mobile UI within expected time.,In Review,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,59,OQ-059-03,Handle offline mode,Android,High,TBD by clinical SME - intentionally incomplete.,Rejected once,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,59,OQ-059-04,Display current BPM with timestamp,iOS,Medium,System shall complete the action without data loss.,Pending QA,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,59,OQ-059-05,Show trend chart for 7/30/90 days,iOS,Low,User shall receive clear error message on failure.,Approved?,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,60,OQ-060-01,Display current BPM with timestamp,Local DB,Medium,Audit/event record shall be generated where applicable.,In Review,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,60,OQ-060-02,Biometric login option,Backend API,Not ranked,Data shall be encrypted in transit and at rest.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,60,OQ-060-03,Consent capture and privacy notice,Android/iOS,TBD,Audit/event record shall be generated where applicable.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,60,OQ-060-04,Consent capture and privacy notice,Local DB,Medium,Data shall be encrypted in transit and at rest.,Approved?,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,60,OQ-060-05,Sync readings to cloud API,Local DB,TBD,System shall complete the action without data loss.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,61,OQ-061-01,Validate sensor data range,iOS,Low,System shall complete the action without data loss.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,61,OQ-061-02,Battery and Bluetooth warning,Android/iOS,Not ranked,TBD by clinical SME - intentionally incomplete.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,61,OQ-061-03,Consent capture and privacy notice,Backend API,Low,User shall receive clear error message on failure.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,61,OQ-061-04,Display current BPM with timestamp,Cloud Sync,Medium,Audit/event record shall be generated where applicable.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,61,OQ-061-05,Consent capture and privacy notice,Local DB,Not ranked,System shall complete the action without data loss.,In Review,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,62,OQ_62.1,Biometric login option,iOS,Not ranked,System shall complete the action without data loss.,Draft,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,62,OQ-062-02,Battery and Bluetooth warning,Notification Service,Low,Audit/event record shall be generated where applicable.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,62,OQ-062-03,Capture heart rate from paired device,iOS,TBD,Result must be visible in mobile UI within expected time.,In Review,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,62,OQ-062-04,Store readings securely on device,Local DB,Medium,System shall complete the action without data loss.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,62,OQ-062-05,Export readings as PDF/CSV,Cloud Sync,High,Data shall be encrypted in transit and at rest.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,63,OQ-063-01,Manual heart rate entry when device unavailable,iOS,High,Audit/event record shall be generated where applicable.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,63,OQ-063-02,Generate high/low heart-rate alert,Bluetooth Sensor,Not ranked,Audit/event record shall be generated where applicable.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,63,OQ-063-03,Notification retry and suppression,Local DB,Low,Audit/event record shall be generated where applicable.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,63,OQ-063-04,Validate sensor data range,iOS,Not ranked,System shall complete the action without data loss.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,63,OQ-063-05,Sync readings to cloud API,Cloud Sync,TBD,Result must be visible in mobile UI within expected time.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,64,OQ_64.1,Validate sensor data range,iOS,Medium,Data shall be encrypted in transit and at rest.,In Review,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,64,OQ-064-02,Battery and Bluetooth warning,Android/iOS,Not ranked,User shall receive clear error message on failure.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,64,OQ-064-03,Handle offline mode,Cloud Sync,Not ranked,TBD by clinical SME - intentionally incomplete.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,64,OQ-064-04,Generate high/low heart-rate alert,Android,High,User shall receive clear error message on failure.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,64,OQ_64.5,Handle offline mode,Android/iOS,TBD,Result must be visible in mobile UI within expected time.,Draft,v0.1/v1.0 mixed
